timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1811,     1611,     1405,     1198,      998,      809,      639,      490,      366,      269,      197,      149,      120,      108,      108,      113,      118,      124,      131,      137,      144,      151,      158,      166,      174,      183,      192,      202,      211,      222,      233,      244,      256,      268,      281,      295,      309,      324,      339,      355,      372,      390,      408,      427,      447,      468,      489,      512,      535,      560,      585,      611,      639,      667,      696,      727,      758,      791,      825,      860,      896,      934,      972,     1012,     1053,     1095,     1138,     1183,     1228,     1275,     1323,     1373,     1423,     1474,     1527,     1580,     1635,     1690,     1747,     1804,     1862,     1921,     1980,     2040,     2101,     2162,     2223,     2285,     2347,     2410,     2472,     2535,     2597,     2659,     2721,     2783,     2845,     2906,     2966,     3026,     3086,     3144,     3202,     3260,     3316,     3371,     3426,     3479,     3531,     3583,     3633,     3682,     3730,     3777,     3822,     3867,     3910,     3952,     3993,     4032,     4071,     4108,     4144,     4179,     4212,     4245,     4276,     4307,     4336,     4364,     4392,     4418,     4443,     4467,     4490,     4513,     4534,     4555,     4575,     4594,     4612,     4630,     4646,     4662,     4678,     4693,     4707,     4720,     4733,     4745,     4757,     4768,     4779,     4789,     4799,     4809,     4818,     4826,     4834,     4842,     4850,     4857,     4863,     4870,     4876,     4882,     4888,     4893,     4898,     4903,     4907,     4912,     4916,     4920,     4924,     4927,     4931,     4934,     4937,     4940,     4943,     4946,     4948,     4951,     4953,     4955,     4957,     4959,     4961,     4963,     4965,     4966,     4968,     4969,     4971,     4972,     4973,     4974,     4975,     4976,     4977
i.70.calc,     2494,     2663,     2847,     3044,     3256,     3484,     3728,     3987,     4261,     4550,     4849,     5151,     5444,     5693,     5837,     5835,     5762,     5676,     5589,     5503,     5418,     5335,     5253,     5172,     5093,     5014,     4937,     4861,     4787,     4713,     4640,     4569,     4499,     4430,     4361,     4294,     4228,     4163,     4099,     4036,     3974,     3913,     3853,     3794,     3735,     3678,     3621,     3566,     3511,     3457,     3404,     3351,     3300,     3249,     3199,     3150,     3101,     3054,     3007,     2960,     2915,     2870,     2826,     2782,     2740,     2697,     2656,     2615,     2575,     2535,     2496,     2458,     2420,     2383,     2346,     2310,     2275,     2240,     2205,     2171,     2138,     2105,     2073,     2041,     2009,     1978,     1948,     1918,     1889,     1860,     1831,     1803,     1775,     1748,     1721,     1694,     1668,     1643,     1617,     1593,     1568,     1544,     1520,     1497,     1474,     1451,     1429,     1407,     1385,     1364,     1343,     1322,     1302,     1282,     1262,     1243,     1224,     1205,     1186,     1168,     1150,     1132,     1115,     1098,     1081,     1064,     1048,     1032,     1016,     1000,      985,      970,      955,      940,      926,      912,      898,      884,      870,      857,      844,      831,      818,      805,      793,      781,      769,      757,      745,      734,      722,      711,      700,      690,      679,      669,      658,      648,      638,      628,      619,      609,      600,      591,      582,      573,      564,      555,      547,      538,      530,      522,      514,      506,      498,      490,      483,      475,      468,      461,      454,      447,      440,      433,      427,      420,      414,      407,      401,      395,      389,      383,      377,      371,      366,      360,      354,      349,      344,      339,      333,      328
i.42.calc,      240,      260,      281,      303,      323,      341,      355,      360,      354,      333,      292,      233,      159,       82,       26,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1538,     1324,     1116,      918,      735,      573,      433,      318,      227,      159,      111,       80,       62,       53,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       50,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       51,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       52,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       53,       54,       54,       54,       54,       54,       54,       54
i.31.calc,     1415,     1538,     1644,     1723,     1765,     1761,     1706,     1597,     1438,     1234,      995,      736,      475,      240,       77,       14,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1
