timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1835,     1659,     1476,     1289,     1104,      926,      760,      610,      481,      373,      290,      230,      192,      175,      174,      181,      190,      199,      209,      219,      230,      241,      253,      266,      279,      292,      307,      322,      337,      354,      371,      389,      407,      427,      447,      468,      491,      514,      538,      563,      589,      617,      645,      675,      706,      738,      771,      806,      842,      879,      918,      958,     1000,     1043,     1087,     1134,     1181,     1230,     1281,     1334,     1388,     1443,     1500,     1559,     1619,     1681,     1744,     1809,     1875,     1943,     2012,     2083,     2155,     2228,     2302,     2378,     2454,     2531,     2610,     2689,     2769,     2849,     2931,     3012,     3094,     3176,     3258,     3341,     3423,     3505,     3587,     3668,     3750,     3830,     3910,     3989,     4067,     4145,     4221,     4296,     4370,     4443,     4515,     4585,     4654,     4722,     4788,     4853,     4916,     4978,     5038,     5096,     5153,     5209,     5262,     5315,     5365,     5414,     5462,     5508,     5552,     5595,     5637,     5677,     5715,     5753,     5788,     5823,     5856,     5888,     5919,     5948,     5977,     6004,     6030,     6055,     6079,     6102,     6124,     6146,     6166,     6185,     6204,     6222,     6239,     6255,     6270,     6285,     6300,     6313,     6326,     6338,     6350,     6362,     6372,     6383,     6392,     6402,     6411,     6419,     6427,     6435,     6442,     6449,     6456,     6463,     6469,     6474,     6480,     6485,     6490,     6495,     6500,     6504,     6508,     6512,     6516,     6519,     6523,     6526,     6529,     6532,     6535,     6538,     6540,     6542,     6545,     6547,     6549,     6551,     6553,     6555,     6556,     6558,     6559,     6561,     6562,     6564,     6565,     6566,     6567
i.70.calc,     2494,     2663,     2846,     3043,     3254,     3480,     3722,     3980,     4253,     4540,     4838,     5142,     5439,     5704,     5880,     5910,     5845,     5760,     5672,     5585,     5499,     5414,     5331,     5249,     5168,     5089,     5011,     4933,     4858,     4783,     4709,     4637,     4566,     4495,     4426,     4358,     4291,     4225,     4160,     4096,     4033,     3971,     3910,     3850,     3791,     3732,     3675,     3618,     3563,     3508,     3454,     3401,     3349,     3297,     3246,     3196,     3147,     3099,     3051,     3004,     2958,     2913,     2868,     2824,     2780,     2738,     2695,     2654,     2613,     2573,     2533,     2494,     2456,     2418,     2381,     2344,     2308,     2273,     2238,     2204,     2170,     2136,     2103,     2071,     2039,     2008,     1977,     1947,     1917,     1887,     1858,     1830,     1801,     1774,     1746,     1720,     1693,     1667,     1641,     1616,     1591,     1567,     1543,     1519,     1496,     1473,     1450,     1428,     1406,     1384,     1363,     1342,     1321,     1301,     1281,     1261,     1242,     1223,     1204,     1185,     1167,     1149,     1132,     1114,     1097,     1080,     1064,     1047,     1031,     1015,     1000,      984,      969,      954,      940,      925,      911,      897,      883,      869,      856,      843,      830,      817,      805,      792,      780,      768,      756,      745,      733,      722,      711,      700,      689,      678,      668,      658,      648,      638,      628,      618,      609,      599,      590,      581,      572,      563,      555,      546,      538,      529,      521,      513,      505,      498,      490,      482,      475,      468,      461,      453,      446,      440,      433,      426,      420,      413,      407,      401,      394,      388,      382,      377,      371,      365,      359,      354,      349,      343,      338,      333
i.42.calc,      240,      260,      280,      301,      321,      338,      351,      357,      352,      333,      298,      244,      175,       99,       37,        7,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1552,     1353,     1159,      973,      800,      644,      506,      389,      293,      217,      161,      121,       97,       84,       80,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       79,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       80,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       81,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       82,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       83,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       84,       85,       85,       85,       85,       85,       85,       85,       85,       85,       85
i.31.calc,     1415,     1517,     1602,     1663,     1694,     1686,     1635,     1539,     1399,     1218,     1003,      765,      518,      285,      105,       22,        4,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
