timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1617,     1285,     1015,      817,      700,      666,      662,      660,      657,      653,      649,      645,      641,      636,      631,      626,      621,      615,      609,      603,      596,      590,      583,      576,      569,      561,      554,      546,      539,      531,      523,      515,      507,      499,      491,      483,      475,      467,      459,      451,      442,      434,      426,      418,      410,      402,      395,      387,      379,      371,      364,      356,      349,      342,      334,      327,      320,      313,      307,      300,      293,      287,      280,      274,      268,      262,      256,      250,      244,      239,      233,      228,      223,      217,      212,      207,      203,      198,      193,      189,      184,      180,      176,      171,      167,      164,      160,      156,      152,      149,      145,      142,      138,      135,      132,      129,      126,      123,      120,      117,      115,      112,      109,      107,      104,      102,      100,       97,       95,       93,       91,       88,       86,       84,       82,       80,       78,       75,       73,       70,       67,       63,       59,       54,       49,       43,       37,       30,       24,       19,       14,       11,        8,        6,        4,        3,        3,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        3,        3,        3,        3,        3,        3,        3,        4,        4,        4,        4,        4,        5,        5,        5,        5,        6,        6,        6,        6,        7,        7,        7,        8,        8,        9,        9,       10,       10,       11,       11,       12
i.70.calc,     2494,     2894,     3356,     3878,     4443,     4965,     5140,     4989,     4818,     4651,     4490,     4334,     4184,     4038,     3898,     3763,     3633,     3507,     3385,     3268,     3154,     3045,     2939,     2837,     2739,     2644,     2552,     2464,     2378,     2296,     2216,     2139,     2065,     1993,     1924,     1858,     1793,     1731,     1671,     1613,     1557,     1503,     1451,     1401,     1352,     1305,     1260,     1216,     1174,     1133,     1094,     1056,     1019,      984,      950,      917,      885,      854,      825,      796,      769,      742,      716,      691,      667,      644,      622,      600,      580,      559,      540,      521,      503,      486,      469,      453,      437,      422,      407,      393,      379,      366,      354,      341,      329,      318,      307,      296,      286,      276,      267,      257,      248,      240,      231,      223,      216,      208,      201,      194,      187,      181,      175,      169,      163,      157,      152,      147,      142,      137,      132,      128,      124,      120,      116,      113,      110,      107,      105,      103,      102,      102,      102,      104,      107,      112,      118,      126,      136,      148,      161,      176,      192,      209,      226,      244,      261,      276,      290,      301,      309,      314,      316,      315,      311,      306,      299,      292,      284,      275,      267,      258,      250,      242,      234,      226,      218,      211,      203,      196,      190,      183,      177,      171,      165,      159,      154,      148,      143,      138,      133,      129,      124,      120,      116,      112,      108,      104,      101,       97,       94,       90,       87,       84,       81,       79,       76,       73,       71,       68,       66,       64,       61,       59,       57,       55,       53,       51,       50,       48,       46,       45
i.42.calc,      240,      228,      203,      162,      103,       37,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1491,     1240,     1018,      847,      747,      730,      745,      762,      778,      795,      812,      829,      845,      862,      878,      894,      910,      926,      942,      957,      973,      988,     1002,     1017,     1031,     1045,     1058,     1072,     1085,     1097,     1109,     1121,     1132,     1143,     1154,     1164,     1173,     1183,     1191,     1200,     1208,     1215,     1222,     1229,     1235,     1241,     1246,     1251,     1255,     1259,     1263,     1266,     1269,     1271,     1273,     1274,     1275,     1276,     1276,     1276,     1276,     1275,     1274,     1272,     1270,     1268,     1265,     1262,     1259,     1256,     1252,     1248,     1244,     1239,     1234,     1229,     1224,     1218,     1213,     1207,     1201,     1194,     1188,     1181,     1174,     1167,     1160,     1152,     1145,     1137,     1130,     1122,     1114,     1106,     1097,     1089,     1081,     1072,     1064,     1055,     1047,     1038,     1029,     1020,     1011,     1002,      993,      984,      974,      965,      955,      945,      934,      923,      911,      898,      883,      866,      846,      822,      794,      758,      715,      663,      601,      530,      452,      372,      295,      226,      167,      121,       86,       61,       43,       31,       23,       17,       13,       10,        8,        7,        6,        6,        5,        5,        4,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2
i.31.calc,     1415,     1432,     1335,     1104,      738,      293,       24,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        2,        2,        3,        4,        6,        8,       11,       15,       21,       29,       39,       53,       72,       97,      127,      164,      206,      249,      289,      321,      341,      346,      337,      317,      288,      254,      217,      181,      147,      116,       90,       68,       51,       38,       27,       20,       14,       10,        8,        6,        4,        3,        2,        2,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
