timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1711,     1440,     1191,      967,      769,      599,      456,      341,      250,      183,      135,      104,       86,       78,       76,       76,       76,       77,       77,       77,       77,       78,       78,       78,       79,       79,       79,       79,       80,       80,       80,       81,       81,       81,       81,       82,       82,       82,       83,       83,       83,       83,       84,       84,       84,       85,       85,       85,       85,       86,       86,       86,       86,       87,       87,       87,       87,       88,       88,       88,       88,       88,       89,       89,       89,       89,       89,       90,       90,       90,       90,       90,       90,       90,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       92,       92,       92,       92,       92,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       91,       90,       90,       90,       90,       90,       90,       89,       89,       89,       89,       89,       89,       88,       88,       88,       88,       87,       87,       87,       87,       86,       86,       86,       86,       85,       85,       85,       85,       84,       84,       84,       84,       83,       83,       83,       82,       82,       82,       82,       81,       81,       81,       80,       80,       80,       80,       79,       79,       79,       79,       78,       78,       78,       77,       77,       77,       77,       76,       76,       76,       76,       76,       75,       75,       75,       75,       74,       74,       74,       74,       74,       73,       73,       73,       73,       73,       73,       72,       72,       72,       72,       72,       72,       72,       71,       71,       71,       71,       71,       71,       71,       71,       71,       71,       71,       71
i.70.calc,     2494,     2663,     2846,     3042,     3252,     3477,     3717,     3972,     4241,     4523,     4812,     5102,     5375,     5593,     5694,     5667,     5591,     5507,     5423,     5340,     5258,     5177,     5097,     5019,     4942,     4866,     4791,     4717,     4644,     4573,     4503,     4433,     4365,     4298,     4232,     4167,     4103,     4040,     3978,     3916,     3856,     3797,     3738,     3681,     3624,     3569,     3514,     3460,     3406,     3354,     3303,     3252,     3202,     3152,     3104,     3056,     3009,     2963,     2917,     2873,     2828,     2785,     2742,     2700,     2658,     2617,     2577,     2538,     2498,     2460,     2422,     2385,     2348,     2312,     2277,     2242,     2207,     2173,     2140,     2107,     2074,     2043,     2011,     1980,     1950,     1920,     1890,     1861,     1833,     1804,     1777,     1749,     1722,     1696,     1670,     1644,     1619,     1594,     1569,     1545,     1522,     1498,     1475,     1452,     1430,     1408,     1386,     1365,     1344,     1323,     1303,     1283,     1263,     1244,     1225,     1206,     1187,     1169,     1151,     1133,     1116,     1099,     1082,     1065,     1049,     1033,     1017,     1001,      986,      971,      956,      941,      927,      912,      898,      884,      871,      857,      844,      831,      819,      806,      794,      781,      769,      757,      746,      734,      723,      712,      701,      690,      680,      669,      659,      649,      639,      629,      619,      610,      600,      591,      582,      573,      564,      556,      547,      539,      530,      522,      514,      506,      498,      491,      483,      476,      468,      461,      454,      447,      440,      434,      427,      420,      414,      407,      401,      395,      389,      383,      377,      371,      366,      360,      354,      349,      344,      338,      333,      328,      323,      318
i.42.calc,      240,      260,      280,      300,      318,      334,      343,      345,      334,      309,      266,      206,      134,       64,       18,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1638,     1501,     1346,     1180,     1008,      839,      679,      535,      411,      312,      236,      184,      153,      139,      135,      135,      134,      134,      134,      134,      134,      134,      134,      134,      135,      135,      135,      135,      135,      135,      135,      135,      135,      136,      136,      136,      136,      136,      136,      137,      137,      137,      137,      138,      138,      138,      138,      139,      139,      139,      139,      140,      140,      140,      141,      141,      141,      142,      142,      143,      143,      143,      144,      144,      144,      145,      145,      146,      146,      146,      147,      147,      148,      148,      149,      149,      150,      150,      150,      151,      151,      152,      152,      153,      153,      153,      154,      154,      155,      155,      156,      156,      156,      157,      157,      158,      158,      159,      159,      159,      160,      160,      160,      161,      161,      161,      162,      162,      162,      163,      163,      163,      164,      164,      164,      164,      165,      165,      165,      165,      166,      166,      166,      166,      166,      166,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      167,      166,      166,      166,      166,      166,      166,      166,      165,      165,      165,      165,      164,      164,      164,      164,      163,      163,      163,      163,      162,      162,      162,      161,      161,      161,      160,      160,      160,      159,      159,      159,      158,      158,      157,      157,      157,      156,      156,      156,      155,      155,      154,      154,      154,      153,      153,      152,      152,      152,      151,      151,      150,      150,      150
i.31.calc,     1415,     1505,     1577,     1622,     1635,     1609,     1540,     1427,     1272,     1080,      859,      622,      386,      181,       52,       10,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
