timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1707,     1393,     1082,      798,      561,      377,      245,      155,       97,       62,       41,       30,       26,       26,       27,       28,       30,       31,       33,       34,       36,       38,       40,       42,       44,       46,       49,       51,       54,       56,       59,       62,       65,       69,       72,       76,       80,       84,       88,       92,       97,      102,      107,      112,      118,      124,      130,      136,      143,      150,      158,      165,      174,      182,      191,      201,      210,      221,      232,      243,      255,      267,      280,      293,      308,      322,      338,      354,      371,      388,      406,      426,      445,      466,      488,      510,      533,      558,      583,      609,      637,      665,      694,      725,      756,      789,      823,      857,      894,      931,      969,     1009,     1050,     1092,     1135,     1180,     1225,     1272,     1320,     1369,     1419,     1471,     1523,     1577,     1631,     1687,     1743,     1800,     1858,     1917,     1976,     2036,     2097,     2158,     2220,     2281,     2344,     2406,     2468,     2531,     2593,     2656,     2718,     2780,     2841,     2902,     2963,     3023,     3082,     3141,     3199,     3256,     3313,     3368,     3423,     3476,     3528,     3580,     3630,     3679,     3727,     3774,     3820,     3864,     3907,     3949,     3990,     4030,     4068,     4105,     4141,     4176,     4210,     4242,     4274,     4304,     4332,     4360,     4386,     4412,     4435,     4458,     4478,     4497,     4514,     4529,     4540,     4548,     4551,     4547,     4535,     4512,     4473,     4411,     4319,     4186,     3996,     3735,     3392,     2966,     2478,     1966,     1479,     1058,      725,      479,      309,      196,      123,       77,       48,       30,       19,       12,        8,        5,        4,        3,        2,        2,        2
i.70.calc,     2494,     2664,     2850,     3052,     3270,     3503,     3751,     4013,     4288,     4570,     4850,     5109,     5306,     5378,     5338,     5264,     5184,     5105,     5026,     4949,     4873,     4798,     4724,     4651,     4580,     4509,     4440,     4372,     4305,     4238,     4173,     4109,     4046,     3984,     3922,     3862,     3803,     3744,     3687,     3630,     3574,     3519,     3465,     3412,     3359,     3307,     3257,     3207,     3157,     3109,     3061,     3014,     2967,     2922,     2877,     2833,     2789,     2746,     2704,     2662,     2621,     2581,     2541,     2502,     2464,     2426,     2389,     2352,     2316,     2280,     2245,     2210,     2176,     2143,     2110,     2078,     2046,     2014,     1983,     1953,     1923,     1893,     1864,     1835,     1807,     1779,     1752,     1725,     1698,     1672,     1647,     1621,     1596,     1572,     1548,     1524,     1500,     1477,     1455,     1432,     1410,     1388,     1367,     1346,     1325,     1305,     1285,     1265,     1246,     1227,     1208,     1189,     1171,     1153,     1135,     1118,     1100,     1084,     1067,     1050,     1034,     1018,     1003,      987,      972,      957,      942,      928,      914,      900,      886,      872,      859,      846,      833,      820,      807,      795,      783,      771,      759,      747,      736,      724,      713,      702,      691,      681,      670,      660,      650,      640,      630,      621,      611,      602,      593,      584,      575,      567,      559,      551,      543,      536,      529,      522,      516,      512,      508,      505,      504,      505,      508,      515,      525,      540,      559,      584,      614,      650,      691,      736,      787,      842,      901,      966,     1034,     1108,     1186,     1268,     1354,     1444,     1537,     1632,     1726,     1819,     1905,     1979,     2036,     2069,     2077,     2067
i.42.calc,      240,      237,      235,      233,      230,      224,      213,      196,      171,      139,      101,       62,       27,        7,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1449,     1143,      855,      606,      408,      262,      162,       98,       59,       36,       23,       16,       13,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       11,       11,       10,       10,        9,        7,        6,        5,        3,        2,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1699,     1957,     2146,     2229,     2187,     2027,     1772,     1456,     1108,      759,      437,      183,       46,        8,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        2,        2,        3,        3,        5,        6,        8,       11,       14,       19,       26,       36,       49,       67,       93,      130,      182,      257,      364,      514,      719,      984,     1303,     1650,     1981,     2246,     2408,     2456,     2400,     2265,     2077,     1860,     1630,     1398,     1174,      960,      761,      579,      417,      280,      171,       94,       47,       21
