timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1764,     1542,     1334,     1139,      959,      796,      650,      523,      416,      329,      263,      218,      191,      183,      187,      194,      203,      212,      221,      231,      241,      251,      262,      273,      284,      296,      308,      321,      334,      347,      361,      375,      389,      404,      419,      435,      450,      467,      483,      500,      517,      535,      553,      571,      589,      608,      626,      645,      664,      684,      703,      723,      742,      762,      782,      801,      821,      841,      860,      880,      899,      918,      937,      956,      975,      993,     1012,     1030,     1047,     1065,     1082,     1099,     1115,     1132,     1147,     1163,     1178,     1193,     1207,     1221,     1235,     1248,     1261,     1273,     1285,     1297,     1308,     1319,     1330,     1340,     1350,     1360,     1369,     1378,     1387,     1395,     1403,     1410,     1418,     1425,     1432,     1438,     1444,     1450,     1456,     1462,     1467,     1472,     1477,     1481,     1486,     1490,     1494,     1498,     1502,     1505,     1509,     1512,     1515,     1518,     1521,     1524,     1526,     1529,     1531,     1533,     1535,     1537,     1539,     1541,     1543,     1545,     1546,     1548,     1549,     1551,     1552,     1553,     1555,     1556,     1557,     1558,     1559,     1560,     1561,     1561,     1562,     1563,     1564,     1565,     1565,     1566,     1566,     1567,     1568,     1568,     1569,     1569,     1570,     1570,     1570,     1571,     1571,     1571,     1572,     1572,     1572,     1573,     1573,     1573,     1574,     1574,     1574,     1574,     1574,     1575,     1575,     1575,     1575,     1575,     1575,     1576,     1576,     1576,     1576,     1576,     1576,     1576,     1576,     1576,     1577,     1577,     1577,     1577,     1577,     1577,     1577,     1577,     1577,     1577,     1577
i.70.calc,     2494,     2663,     2845,     3041,     3251,     3476,     3715,     3969,     4237,     4517,     4806,     5095,     5369,     5593,     5705,     5687,     5613,     5529,     5445,     5361,     5278,     5197,     5117,     5039,     4961,     4885,     4810,     4736,     4663,     4591,     4521,     4451,     4383,     4315,     4249,     4183,     4119,     4056,     3993,     3932,     3871,     3812,     3753,     3696,     3639,     3583,     3528,     3473,     3420,     3367,     3316,     3265,     3214,     3165,     3116,     3068,     3021,     2975,     2929,     2884,     2840,     2796,     2753,     2711,     2669,     2628,     2587,     2548,     2508,     2470,     2432,     2394,     2358,     2321,     2286,     2251,     2216,     2182,     2148,     2115,     2083,     2051,     2019,     1988,     1957,     1927,     1898,     1869,     1840,     1812,     1784,     1756,     1729,     1703,     1676,     1651,     1625,     1600,     1576,     1551,     1528,     1504,     1481,     1458,     1436,     1414,     1392,     1370,     1349,     1329,     1308,     1288,     1268,     1249,     1230,     1211,     1192,     1174,     1156,     1138,     1120,     1103,     1086,     1069,     1053,     1037,     1021,     1005,      990,      975,      960,      945,      930,      916,      902,      888,      874,      861,      848,      835,      822,      809,      797,      784,      772,      760,      749,      737,      726,      715,      704,      693,      682,      672,      661,      651,      641,      631,      622,      612,      603,      593,      584,      575,      566,      558,      549,      541,      532,      524,      516,      508,      500,      493,      485,      478,      470,      463,      456,      449,      442,      435,      429,      422,      416,      409,      403,      397,      391,      385,      379,      373,      367,      361,      356,      350,      345,      340,      334,      329,      324,      319
i.42.calc,      240,      260,      280,      299,      317,      332,      341,      341,      331,      306,      265,      207,      137,       68,       21,        4,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1560,     1367,     1178,      995,      825,      669,      532,      415,      319,      243,      187,      148,      125,      114,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      111,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      112,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      113,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      114,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      115,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      116,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      117,      118,      118,      118,      118,      118,      118,      118,      118,      118,      118
i.31.calc,     1415,     1499,     1564,     1603,     1610,     1579,     1509,     1398,     1248,     1064,      852,      625,      396,      194,       60,       12,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
