timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.33.calc,     2476,     2680,     2799,     2781,     2645,     2458,     2257,     2051,     1842,     1630,     1416,     1199,      982,      764,      551,      351,      180,       64,       16,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.5.calc,     2000,     1954,     1934,     1935,     1950,     1969,     1989,     2008,     2028,     2046,     2065,     2082,     2099,     2116,     2132,     2147,     2162,     2176,     2190,     2204,     2216,     2229,     2241,     2252,     2263,     2273,     2283,     2293,     2302,     2311,     2320,     2328,     2336,     2343,     2351,     2357,     2364,     2370,     2376,     2382,     2388,     2393,     2398,     2403,     2407,     2412,     2416,     2420,     2424,     2427,     2431,     2434,     2437,     2440,     2443,     2446,     2448,     2451,     2453,     2455,     2457,     2459,     2461,     2463,     2465,     2467,     2468,     2470,     2471,     2473,     2474,     2475,     2476,     2478,     2479,     2480,     2481,     2482,     2483,     2483,     2484,     2485,     2486,     2486,     2487,     2488,     2488,     2489,     2489,     2490,     2490,     2491,     2491,     2492,     2492,     2492,     2493,     2493,     2494,     2494,     2494,     2494,     2495,     2495,     2495,     2495,     2496,     2496,     2496,     2496,     2496,     2497,     2497,     2497,     2497,     2497,     2497,     2497,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500
i.56.calc,      738,      804,      875,      952,     1035,     1125,     1222,     1327,     1440,     1560,     1689,     1826,     1969,     2118,     2267,     2408,     2525,     2590,     2591,     2557,     2514,     2469,     2425,     2382,     2340,     2298,     2257,     2217,     2177,     2138,     2100,     2063,     2026,     1990,     1954,     1919,     1885,     1852,     1819,     1786,     1754,     1723,     1692,     1662,     1632,     1603,     1575,     1547,     1519,     1492,     1465,     1439,     1414,     1388,     1364,     1339,     1315,     1292,     1269,     1246,     1224,     1202,     1181,     1160,     1139,     1119,     1099,     1079,     1060,     1041,     1022,     1004,      986,      969,      951,      934,      918,      901,      885,      869,      854,      839,      824,      809,      795,      780,      767,      753,      739,      726,      713,      701,      688,      676,      664,      652,      640,      629,      618,      607,      596,      585,      575,      564,      554,      545,      535,      525,      516,      507,      498,      489,      480,      472,      463,      455,      447,      439,      431,      423,      416,      408,      401,      394,      387,      380,      373,      366,      360,      354,      347,      341,      335,      329,      323,      317,      312,      306,      301,      295,      290,      285,      280,      275,      270,      265,      260,      256,      251,      247,      242,      238,      234,      230,      225,      221,      217,      214,      210,      206,      202,      199,      195,      192,      188,      185,      182,      178,      175,      172,      169,      166,      163,      160,      157,      154,      152,      149,      146,      144,      141,      139,      136,      134,      131,      129,      127,      124,      122,      120,      118,      116,      114,      112,      110,      108,      106,      104,      102,      100,       99,       97
i.59.calc,      674,      730,      780,      810,      817,      809,      796,      781,      766,      750,      734,      719,      703,      688,      673,      659,      644,      630,      617,      603,      590,      577,      565,      552,      540,      529,      517,      506,      495,      484,      474,      463,      453,      443,      434,      424,      415,      406,      397,      388,      380,      372,      364,      356,      348,      340,      333,      326,      319,      312,      305,      298,      292,      285,      279,      273,      267,      261,      256,      250,      245,      239,      234,      229,      224,      219,      214,      210,      205,      201,      196,      192,      188,      184,      180,      176,      172,      168,      165,      161,      158,      154,      151,      148,      144,      141,      138,      135,      132,      129,      126,      124,      121,      118,      116,      113,      111,      108,      106,      104,      102,       99,       97,       95,       93,       91,       89,       87,       85,       83,       81,       80,       78,       76,       75,       73,       71,       70,       68,       67,       65,       64,       63,       61,       60,       59,       57,       56,       55,       54,       52,       51,       50,       49,       48,       47,       46,       45,       44,       43,       42,       41,       40,       39,       39,       38,       37,       36,       35,       35,       34,       33,       32,       32,       31,       30,       30,       29,       28,       28,       27,       27,       26,       25,       25,       24,       24,       23,       23,       22,       22,       21,       21,       20,       20,       19,       19,       19,       18,       18,       17,       17,       17,       16,       16,       16,       15,       15,       15,       14,       14,       14,       13,       13,       13,       13,       12,       12,       12,       11,       11,       11
i.14.calc,     1051,      651,      314,      107,       28,        7,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,       29,       27,       24,       20,       14,       10,        6,        4,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
