timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1659,     1310,      978,      686,      449,      273,      155,       83,       44,       24,       15,       10,        9,        9,       10,       10,       11,       11,       12,       12,       13,       14,       14,       15,       16,       17,       17,       18,       19,       20,       21,       22,       24,       25,       26,       27,       29,       30,       32,       33,       35,       37,       39,       41,       43,       45,       47,       49,       52,       54,       57,       60,       63,       66,       69,       73,       76,       80,       84,       88,       93,       97,      102,      107,      112,      118,      124,      130,      136,      142,      149,      156,      164,      172,      180,      188,      197,      206,      216,      226,      237,      248,      259,      271,      283,      296,      309,      323,      337,      352,      367,      383,      399,      417,      434,      452,      471,      490,      510,      531,      552,      573,      596,      619,      642,      666,      691,      716,      741,      767,      794,      821,      849,      877,      905,      934,      963,      992,     1022,     1052,     1082,     1112,     1143,     1173,     1204,     1235,     1265,     1296,     1326,     1357,     1387,     1417,     1447,     1477,     1506,     1535,     1563,     1591,     1619,     1647,     1673,     1700,     1726,     1751,     1776,     1800,     1824,     1847,     1869,     1891,     1913,     1934,     1954,     1973,     1992,     2011,     2028,     2045,     2062,     2078,     2093,     2108,     2122,     2135,     2147,     2159,     2170,     2179,     2188,     2195,     2200,     2203,     2203,     2200,     2191,     2176,     2153,     2118,     2068,     1998,     1903,     1778,     1619,     1428,     1212,      986,      767,      571,      410,      285,      194,      130,       87,       58,       39,       26,       18,       13,       10,        8,        6
i.70.calc,     2494,     2665,     2851,     3053,     3271,     3505,     3754,     4017,     4292,     4573,     4849,     5099,     5272,     5313,     5260,     5184,     5105,     5026,     4949,     4873,     4798,     4724,     4652,     4580,     4510,     4440,     4372,     4305,     4238,     4173,     4109,     4046,     3984,     3922,     3862,     3803,     3744,     3687,     3630,     3574,     3519,     3465,     3412,     3359,     3308,     3257,     3207,     3157,     3109,     3061,     3014,     2967,     2922,     2877,     2833,     2789,     2746,     2704,     2662,     2621,     2581,     2541,     2502,     2464,     2426,     2389,     2352,     2316,     2280,     2245,     2211,     2177,     2143,     2110,     2078,     2046,     2014,     1983,     1953,     1923,     1893,     1864,     1835,     1807,     1779,     1752,     1725,     1698,     1672,     1647,     1621,     1596,     1572,     1548,     1524,     1500,     1477,     1455,     1432,     1410,     1389,     1367,     1346,     1325,     1305,     1285,     1265,     1246,     1227,     1208,     1189,     1171,     1153,     1135,     1118,     1100,     1084,     1067,     1050,     1034,     1018,     1003,      987,      972,      957,      942,      928,      914,      900,      886,      872,      859,      846,      833,      820,      807,      795,      783,      770,      759,      747,      735,      724,      713,      702,      691,      681,      670,      660,      650,      640,      630,      620,      611,      601,      592,      583,      574,      565,      557,      548,      540,      532,      524,      516,      509,      502,      494,      488,      481,      475,      470,      465,      461,      458,      457,      456,      458,      463,      470,      480,      495,      513,      535,      561,      591,      625,      662,      703,      746,      792,      840,      890,      942,      994,     1046,     1097,     1145,     1189,     1226,     1254,     1273
i.42.calc,      240,      261,      285,      310,      334,      351,      356,      342,      303,      243,      171,       98,       38,        9,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1434,     1112,      808,      548,      346,      202,      109,       56,       28,       15,        8,        6,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        3,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1698,     1950,     2125,     2183,     2110,     1917,     1635,     1304,      959,      628,      338,      126,       28,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        2,        2,        3,        4,        6,        7,       10,       13,       17,       23,       31,       42,       57,       78,      106,      145,      198,      268,      359,      473,      604,      745,      877,      985,     1051,     1071,     1047,      986,      899,      797,      688,      578,      472,      374,      285,      209,      146,       98
