timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.33.calc,     2476,     2682,     2809,     2805,     2678,     2493,     2292,     2084,     1874,     1661,     1445,     1227,     1007,      788,      572,      369,      193,       71,       17,        4,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.5.calc,     2000,     1926,     1887,     1879,     1891,     1910,     1931,     1952,     1973,     1993,     2013,     2032,     2051,     2069,     2086,     2103,     2120,     2135,     2151,     2165,     2180,     2193,     2207,     2219,     2231,     2243,     2255,     2265,     2276,     2286,     2295,     2305,     2313,     2322,     2330,     2338,     2345,     2352,     2359,     2366,     2372,     2378,     2383,     2389,     2394,     2399,     2404,     2408,     2413,     2417,     2421,     2424,     2428,     2431,     2435,     2438,     2441,     2444,     2446,     2449,     2451,     2454,     2456,     2458,     2460,     2462,     2464,     2465,     2467,     2469,     2470,     2472,     2473,     2474,     2476,     2477,     2478,     2479,     2480,     2481,     2482,     2483,     2484,     2484,     2485,     2486,     2487,     2487,     2488,     2488,     2489,     2489,     2490,     2490,     2491,     2491,     2492,     2492,     2493,     2493,     2493,     2494,     2494,     2494,     2494,     2495,     2495,     2495,     2495,     2496,     2496,     2496,     2496,     2496,     2497,     2497,     2497,     2497,     2497,     2497,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2498,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2499,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500,     2500
i.56.calc,      738,      804,      875,      952,     1035,     1125,     1223,     1328,     1440,     1562,     1691,     1828,     1972,     2122,     2272,     2416,     2538,     2609,     2613,     2580,     2537,     2492,     2448,     2404,     2361,     2319,     2278,     2237,     2197,     2158,     2120,     2082,     2045,     2008,     1972,     1937,     1903,     1869,     1835,     1803,     1770,     1739,     1708,     1677,     1647,     1618,     1589,     1561,     1533,     1506,     1479,     1452,     1427,     1401,     1376,     1352,     1327,     1304,     1281,     1258,     1235,     1213,     1192,     1170,     1149,     1129,     1109,     1089,     1070,     1051,     1032,     1013,      995,      978,      960,      943,      926,      910,      893,      877,      862,      846,      831,      817,      802,      788,      774,      760,      746,      733,      720,      707,      694,      682,      670,      658,      646,      635,      623,      612,      601,      591,      580,      570,      560,      550,      540,      530,      521,      511,      502,      493,      484,      476,      467,      459,      451,      443,      435,      427,      420,      412,      405,      397,      390,      383,      377,      370,      363,      357,      350,      344,      338,      332,      326,      320,      315,      309,      303,      298,      293,      287,      282,      277,      272,      268,      263,      258,      253,      249,      244,      240,      236,      232,      228,      223,      219,      216,      212,      208,      204,      201,      197,      193,      190,      187,      183,      180,      177,      174,      171,      168,      165,      162,      159,      156,      153,      150,      148,      145,      142,      140,      137,      135,      133,      130,      128,      126,      123,      121,      119,      117,      115,      113,      111,      109,      107,      105,      103,      101,       99,       98
i.59.calc,      674,      731,      781,      814,      824,      817,      805,      790,      775,      759,      743,      727,      712,      696,      681,      667,      652,      638,      624,      610,      597,      584,      571,      559,      547,      535,      523,      512,      501,      490,      479,      469,      459,      449,      439,      429,      420,      411,      402,      393,      385,      376,      368,      360,      352,      345,      337,      330,      323,      316,      309,      302,      295,      289,      283,      277,      270,      265,      259,      253,      248,      242,      237,      232,      227,      222,      217,      212,      208,      203,      199,      194,      190,      186,      182,      178,      174,      170,      167,      163,      160,      156,      153,      149,      146,      143,      140,      137,      134,      131,      128,      125,      123,      120,      117,      115,      112,      110,      107,      105,      103,      101,       98,       96,       94,       92,       90,       88,       86,       84,       82,       81,       79,       77,       76,       74,       72,       71,       69,       68,       66,       65,       63,       62,       61,       59,       58,       57,       55,       54,       53,       52,       51,       50,       49,       48,       47,       46,       45,       44,       43,       42,       41,       40,       39,       38,       37,       37,       36,       35,       34,       33,       33,       32,       31,       31,       30,       29,       29,       28,       27,       27,       26,       26,       25,       25,       24,       24,       23,       23,       22,       22,       21,       21,       20,       20,       19,       19,       18,       18,       18,       17,       17,       17,       16,       16,       15,       15,       15,       15,       14,       14,       14,       13,       13,       13,       12,       12,       12,       12,       11,       11
i.14.calc,     1051,      669,      338,      122,       33,        8,        2,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,       29,       28,       25,       21,       16,       11,        7,        5,        3,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
