timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1684,     1348,     1018,      721,      476,      292,      166,       89,       47,       25,       15,       11,        9,        9,       10,       10,       11,       11,       12,       12,       13,       14,       15,       15,       16,       17,       18,       19,       20,       21,       22,       23,       24,       25,       26,       28,       29,       31,       32,       34,       35,       37,       39,       41,       43,       45,       48,       50,       53,       55,       58,       61,       64,       67,       71,       74,       78,       82,       86,       90,       95,      100,      105,      110,      115,      121,      127,      134,      140,      147,      154,      162,      170,      178,      187,      196,      206,      215,      226,      237,      248,      260,      273,      286,      299,      313,      328,      343,      359,      376,      394,      412,      431,      450,      471,      492,      514,      537,      560,      585,      610,      637,      664,      692,      721,      751,      783,      815,      848,      882,      917,      952,      989,     1027,     1066,     1106,     1146,     1188,     1230,     1273,     1317,     1362,     1408,     1454,     1501,     1548,     1596,     1645,     1694,     1743,     1793,     1843,     1893,     1944,     1994,     2045,     2096,     2146,     2196,     2246,     2296,     2346,     2395,     2443,     2491,     2539,     2586,     2632,     2678,     2723,     2767,     2810,     2852,     2894,     2934,     2974,     3013,     3050,     3087,     3122,     3157,     3190,     3222,     3253,     3282,     3310,     3336,     3360,     3381,     3399,     3414,     3424,     3427,     3422,     3406,     3375,     3324,     3244,     3127,     2963,     2740,     2456,     2115,     1738,     1358,     1009,      716,      489,      325,      211,      135,       86,       55,       35,       22,       15,       10,        7,        5,        4,        3
i.70.calc,     2494,     2665,     2851,     3053,     3272,     3506,     3755,     4019,     4295,     4578,     4857,     5112,     5296,     5348,     5298,     5222,     5143,     5064,     4986,     4909,     4834,     4760,     4686,     4614,     4543,     4474,     4405,     4337,     4270,     4205,     4140,     4076,     4014,     3952,     3891,     3831,     3772,     3714,     3657,     3601,     3545,     3491,     3437,     3384,     3332,     3281,     3231,     3181,     3132,     3084,     3036,     2990,     2944,     2898,     2854,     2810,     2767,     2724,     2682,     2641,     2600,     2560,     2521,     2482,     2444,     2407,     2370,     2333,     2297,     2262,     2227,     2193,     2159,     2126,     2093,     2061,     2029,     1998,     1967,     1937,     1907,     1878,     1849,     1821,     1793,     1765,     1738,     1711,     1685,     1659,     1633,     1608,     1584,     1559,     1535,     1512,     1488,     1466,     1443,     1421,     1399,     1377,     1356,     1335,     1315,     1295,     1275,     1255,     1236,     1217,     1198,     1180,     1162,     1144,     1126,     1109,     1092,     1075,     1058,     1042,     1026,     1010,      995,      979,      964,      950,      935,      921,      906,      892,      879,      865,      852,      839,      826,      813,      801,      788,      776,      764,      753,      741,      730,      718,      707,      696,      686,      675,      665,      655,      645,      635,      625,      615,      606,      597,      588,      579,      570,      561,      553,      545,      537,      529,      521,      514,      507,      500,      494,      489,      484,      480,      477,      476,      477,      479,      485,      494,      508,      525,      548,      575,      607,      643,      684,      730,      779,      832,      889,      950,     1014,     1082,     1153,     1226,     1301,     1377,     1452,     1523,     1589,     1645,     1687,     1712
i.42.calc,      240,      261,      285,      310,      335,      353,      359,      347,      310,      251,      179,      104,       42,       10,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1435,     1114,      813,      553,      350,      205,      111,       57,       28,       15,        8,        6,        5,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1699,     1955,     2136,     2203,     2138,     1951,     1672,     1341,      993,      658,      361,      139,       31,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        2,        2,        3,        4,        6,        8,       10,       14,       19,       25,       34,       47,       64,       89,      124,      173,      242,      338,      470,      643,      859,     1105,     1358,     1583,     1746,     1827,     1826,     1755,     1632,     1476,     1304,     1125,      949,      780,      622,      477,      350,      242,      155,       92
