timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1744,     1469,     1190,      922,      680,      476,      315,      197,      118,       70,       44,       30,       24,       23,       23,       24,       26,       27,       28,       30,       31,       33,       35,       36,       38,       40,       42,       44,       46,       49,       51,       54,       57,       60,       63,       66,       69,       72,       76,       80,       84,       88,       93,       97,      102,      107,      113,      118,      124,      131,      137,      144,      151,      158,      166,      175,      183,      192,      202,      212,      222,      233,      244,      256,      268,      281,      295,      309,      324,      339,      356,      372,      390,      408,      428,      448,      468,      490,      513,      536,      560,      586,      612,      639,      668,      697,      728,      760,      792,      826,      861,      897,      935,      973,     1013,     1054,     1096,     1140,     1184,     1230,     1277,     1325,     1375,     1425,     1476,     1529,     1583,     1637,     1693,     1749,     1806,     1864,     1923,     1983,     2043,     2103,     2165,     2226,     2288,     2350,     2413,     2475,     2538,     2600,     2662,     2724,     2786,     2848,     2909,     2969,     3029,     3089,     3147,     3205,     3262,     3319,     3374,     3428,     3482,     3534,     3585,     3635,     3684,     3732,     3779,     3825,     3869,     3912,     3954,     3995,     4034,     4073,     4110,     4146,     4181,     4214,     4247,     4278,     4309,     4338,     4366,     4393,     4419,     4444,     4468,     4492,     4514,     4535,     4556,     4575,     4594,     4612,     4629,     4645,     4661,     4675,     4689,     4702,     4714,     4725,     4735,     4743,     4750,     4755,     4758,     4759,     4756,     4748,     4735,     4715,     4685,     4641,     4581,     4497,     4382,     4227,     4024,     3762,     3436,     3051,     2620
i.70.calc,     2494,     2664,     2849,     3050,     3266,     3498,     3746,     4010,     4287,     4576,     4870,     5155,     5403,     5553,     5560,     5492,     5411,     5328,     5246,     5166,     5086,     5008,     4931,     4855,     4780,     4707,     4634,     4563,     4493,     4424,     4356,     4289,     4223,     4158,     4094,     4031,     3969,     3908,     3848,     3789,     3730,     3673,     3617,     3561,     3506,     3452,     3399,     3347,     3295,     3245,     3195,     3146,     3097,     3050,     3003,     2957,     2911,     2866,     2822,     2779,     2736,     2694,     2653,     2612,     2572,     2532,     2493,     2455,     2417,     2380,     2343,     2307,     2272,     2237,     2202,     2168,     2135,     2102,     2070,     2038,     2007,     1976,     1946,     1916,     1886,     1857,     1829,     1800,     1773,     1745,     1719,     1692,     1666,     1641,     1615,     1590,     1566,     1542,     1518,     1495,     1472,     1449,     1427,     1405,     1383,     1362,     1341,     1321,     1300,     1280,     1261,     1241,     1222,     1203,     1185,     1167,     1149,     1131,     1114,     1096,     1080,     1063,     1047,     1031,     1015,      999,      984,      969,      954,      939,      925,      910,      896,      883,      869,      856,      842,      830,      817,      804,      792,      780,      768,      756,      744,      733,      722,      710,      699,      689,      678,      668,      657,      647,      637,      628,      618,      608,      599,      590,      581,      572,      563,      554,      546,      538,      529,      521,      513,      506,      498,      490,      483,      476,      468,      461,      455,      448,      442,      435,      430,      424,      419,      414,      409,      405,      402,      400,      399,      399,      401,      404,      411,      419,      432,      447,      466,      489,      516,      547,      582,      621
i.42.calc,      240,      261,      283,      308,      331,      351,      364,      363,      344,      301,      238,      161,       85,       28,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1480,     1206,      942,      702,      497,      333,      210,      126,       72,       41,       24,       16,       12,       11,       11,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       10,       10,       10,       10,        9,        9,        8,        7,        6,        5
i.31.calc,     1415,     1629,     1822,     1969,     2044,     2029,     1921,     1728,     1468,     1166,      849,      541,      272,       88,       17,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        2,        2,        3,        3,        4,        5,        7,        9,       12,       15,       20,       26,       34,       45,       59,       79,      105,      142,      191,      258,      350,      474,      636,      844,     1099,     1392,     1705
