timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1662,     1290,      912,      563,      279,       96,       22,        5,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        3,        3,        3,        3,        3,        3,        3,        4,        4,        4,        4,        4,        5,        5,        5,        5,        6,        6,        6,        7,        7,        7,        8,        8,        8,        9,        9,       10,       10,       11,       11,       12,       12,       13,       14,       15,       15,       16,       17,       18,       19,       20,       21,       22,       23,       24,       25,       26,       28,       29,       31,       32,       34,       36,       37,       39,       41,       43,       46,       48,       50,       53,       56,       58,       61,       64,       68,       71,       75,       78,       82,       87,       91,       95,      100,      105,      111,      116,      122,      128,      134,      141,      148,      155,      163,      171,      180,      189,      198,      208,      218,      228,      240,      251,      263,      276,      290,      303,      318,      333,      349,      366,      383,      401,      420,      440,      460,      481,      504,      527,      551,      576,      602,      629,      657,      686,      716,      747,      779,      813,      847,      883,      920,      958,      997,     1037,     1078,     1120,     1164,     1208,     1253,     1299,     1345,     1391
i.70.calc,     2494,     2665,     2852,     3056,     3276,     3513,     3766,     4032,     4309,     4589,     4861,     5094,     5233,     5238,     5174,     5097,     5020,     4942,     4866,     4792,     4718,     4645,     4574,     4504,     4434,     4366,     4299,     4233,     4168,     4104,     4040,     3978,     3917,     3857,     3798,     3739,     3682,     3625,     3569,     3514,     3460,     3407,     3355,     3303,     3252,     3202,     3153,     3105,     3057,     3010,     2964,     2918,     2873,     2829,     2785,     2743,     2700,     2659,     2618,     2578,     2538,     2499,     2461,     2423,     2385,     2349,     2313,     2277,     2242,     2208,     2174,     2140,     2107,     2075,     2043,     2012,     1981,     1950,     1920,     1891,     1862,     1833,     1805,     1777,     1750,     1723,     1696,     1670,     1644,     1619,     1594,     1570,     1546,     1522,     1498,     1475,     1453,     1430,     1408,     1387,     1365,     1344,     1324,     1303,     1283,     1264,     1244,     1225,     1206,     1188,     1169,     1151,     1134,     1116,     1099,     1082,     1065,     1049,     1033,     1017,     1001,      986,      971,      956,      941,      927,      912,      898,      885,      871,      858,      844,      831,      819,      806,      794,      781,      769,      758,      746,      734,      723,      712,      701,      690,      680,      669,      659,      649,      639,      629,      619,      610,      600,      591,      582,      573,      564,      556,      547,      539,      530,      522,      514,      506,      499,      491,      483,      476,      469,      461,      454,      447,      440,      434,      427,      420,      414,      408,      401,      395,      389,      383,      377,      371,      366,      360,      355,      349,      344,      339,      333,      328,      323,      318,      314,      309,      304,      300,      296,      292,      288
i.42.calc,      240,      305,      388,      490,      605,      710,      749,      674,      535,      386,      245,      123,       40,        8,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1410,     1057,      719,      426,      202,       66,       15,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1699,     1953,     2121,     2153,     2025,     1757,     1417,     1073,      753,      466,      229,       73,       14,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        2,        2,        3,        4,        5,        8
