timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1649,     1297,      964,      673,      439,      267,      151,       80,       42,       23,       14,       10,        9,        9,       10,       10,       11,       11,       12,       12,       13,       14,       14,       15,       16,       17,       17,       18,       19,       20,       21,       22,       23,       25,       26,       27,       29,       30,       31,       33,       35,       37,       38,       40,       42,       44,       47,       49,       51,       54,       57,       60,       62,       66,       69,       72,       76,       80,       83,       88,       92,       96,      101,      106,      111,      117,      122,      128,      134,      141,      147,      154,      162,      169,      177,      186,      194,      203,      213,      222,      233,      243,      254,      265,      277,      290,      302,      316,      329,      343,      358,      373,      389,      405,      422,      439,      457,      475,      493,      513,      532,      553,      573,      595,      616,      638,      661,      684,      708,      731,      756,      780,      805,      830,      856,      882,      908,      934,      960,      987,     1013,     1040,     1067,     1093,     1120,     1147,     1173,     1199,     1226,     1252,     1277,     1303,     1328,     1353,     1378,     1402,     1426,     1450,     1473,     1495,     1517,     1539,     1560,     1581,     1602,     1621,     1641,     1659,     1678,     1695,     1713,     1729,     1745,     1761,     1776,     1791,     1805,     1819,     1832,     1844,     1856,     1868,     1879,     1889,     1899,     1908,     1916,     1924,     1931,     1936,     1940,     1943,     1943,     1940,     1934,     1923,     1905,     1879,     1842,     1791,     1720,     1627,     1507,     1359,     1186,      996,      802,      619,      459,      330,      230,      158,      107,       73,       49,       34,       24,       17,       13,       10,        8
i.70.calc,     2494,     2665,     2851,     3053,     3271,     3505,     3754,     4017,     4291,     4571,     4846,     5094,     5263,     5300,     5246,     5170,     5091,     5013,     4936,     4860,     4785,     4712,     4639,     4568,     4498,     4428,     4360,     4293,     4227,     4162,     4098,     4035,     3973,     3912,     3852,     3793,     3734,     3677,     3620,     3565,     3510,     3456,     3403,     3350,     3299,     3248,     3198,     3149,     3100,     3053,     3006,     2960,     2914,     2869,     2825,     2782,     2739,     2697,     2655,     2614,     2574,     2535,     2496,     2457,     2419,     2382,     2346,     2310,     2274,     2239,     2205,     2171,     2137,     2104,     2072,     2040,     2009,     1978,     1948,     1918,     1888,     1859,     1830,     1802,     1775,     1747,     1720,     1694,     1668,     1642,     1617,     1592,     1568,     1544,     1520,     1496,     1473,     1451,     1428,     1406,     1385,     1364,     1343,     1322,     1302,     1282,     1262,     1242,     1223,     1205,     1186,     1168,     1150,     1132,     1115,     1098,     1081,     1064,     1048,     1032,     1016,     1000,      985,      970,      955,      940,      926,      911,      897,      883,      870,      856,      843,      830,      818,      805,      793,      780,      768,      757,      745,      734,      722,      711,      700,      689,      679,      668,      658,      648,      638,      628,      619,      609,      600,      591,      582,      573,      564,      555,      547,      539,      530,      523,      515,      507,      500,      493,      486,      479,      473,      467,      462,      457,      454,      451,      449,      449,      451,      456,      463,      473,      487,      505,      527,      552,      581,      613,      648,      686,      727,      770,      814,      860,      907,      954,      999,     1043,     1082,     1117,     1144,     1163
i.42.calc,      240,      261,      285,      310,      333,      350,      355,      340,      301,      241,      168,       95,       37,        8,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1434,     1111,      807,      547,      344,      200,      108,       55,       28,       15,        8,        6,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        3,        3,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1697,     1948,     2121,     2176,     2100,     1904,     1622,     1291,      947,      617,      330,      121,       26,        4,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        2,        2,        3,        3,        4,        6,        8,       10,       14,       18,       24,       32,       44,       59,       80,      108,      147,      198,      265,      350,      452,      567,      684,      789,      868,      910,      913,      880,      820,      740,      649,      554,      460,      371,      289,      218,      158,      110
