timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1707,     1392,     1081,      797,      559,      376,      243,      154,       96,       61,       41,       30,       26,       25,       26,       28,       29,       31,       32,       34,       36,       37,       39,       41,       43,       46,       48,       50,       53,       56,       58,       61,       64,       68,       71,       75,       78,       82,       87,       91,       95,      100,      105,      111,      116,      122,      128,      134,      141,      148,      155,      163,      171,      180,      189,      198,      208,      218,      228,      240,      251,      263,      276,      289,      303,      318,      333,      349,      366,      383,      401,      420,      439,      460,      481,      503,      527,      551,      575,      601,      628,      656,      685,      716,      747,      779,      812,      847,      883,      920,      958,      997,     1038,     1079,     1122,     1166,     1212,     1258,     1306,     1355,     1405,     1456,     1508,     1561,     1615,     1670,     1726,     1783,     1841,     1900,     1959,     2019,     2079,     2140,     2201,     2263,     2325,     2388,     2450,     2513,     2575,     2637,     2700,     2762,     2823,     2884,     2945,     3005,     3065,     3124,     3182,     3240,     3296,     3352,     3407,     3460,     3513,     3565,     3615,     3665,     3713,     3760,     3806,     3851,     3895,     3937,     3978,     4018,     4057,     4095,     4131,     4166,     4200,     4233,     4264,     4295,     4324,     4352,     4379,     4404,     4428,     4451,     4472,     4491,     4508,     4523,     4535,     4543,     4546,     4543,     4531,     4508,     4470,     4409,     4318,     4185,     3997,     3738,     3397,     2974,     2487,     1975,     1487,     1065,      730,      483,      312,      198,      124,       77,       48,       30,       19,       12,        8,        5,        4,        3,        2,        2,        2
i.70.calc,     2494,     2664,     2850,     3052,     3270,     3503,     3751,     4014,     4288,     4570,     4850,     5110,     5306,     5378,     5338,     5264,     5184,     5104,     5026,     4949,     4873,     4798,     4724,     4651,     4580,     4509,     4440,     4372,     4304,     4238,     4173,     4109,     4046,     3983,     3922,     3862,     3802,     3744,     3686,     3630,     3574,     3519,     3465,     3411,     3359,     3307,     3256,     3206,     3157,     3108,     3061,     3014,     2967,     2922,     2877,     2832,     2789,     2746,     2704,     2662,     2621,     2581,     2541,     2502,     2464,     2426,     2388,     2352,     2316,     2280,     2245,     2210,     2176,     2143,     2110,     2077,     2045,     2014,     1983,     1953,     1923,     1893,     1864,     1835,     1807,     1779,     1752,     1725,     1698,     1672,     1646,     1621,     1596,     1572,     1548,     1524,     1500,     1477,     1454,     1432,     1410,     1388,     1367,     1346,     1325,     1305,     1285,     1265,     1246,     1226,     1208,     1189,     1171,     1153,     1135,     1118,     1100,     1083,     1067,     1050,     1034,     1018,     1003,      987,      972,      957,      942,      928,      914,      900,      886,      872,      859,      846,      833,      820,      807,      795,      782,      770,      759,      747,      735,      724,      713,      702,      691,      681,      670,      660,      650,      640,      630,      621,      611,      602,      593,      584,      575,      567,      558,      550,      543,      535,      529,      522,      516,      511,      507,      505,      504,      504,      508,      514,      525,      539,      559,      583,      613,      649,      689,      735,      785,      840,      900,      964,     1032,     1106,     1183,     1265,     1351,     1441,     1534,     1629,     1723,     1816,     1902,     1976,     2033,     2067,     2076,     2066
i.42.calc,      240,      238,      236,      235,      232,      227,      216,      199,      174,      142,      103,       63,       27,        7,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1449,     1142,      854,      605,      407,      261,      162,       97,       58,       35,       22,       15,       13,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       11,       11,       10,        9,        9,        7,        6,        5,        3,        2,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1699,     1957,     2146,     2228,     2186,     2025,     1771,     1454,     1107,      758,      436,      183,       46,        8,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        2,        2,        3,        3,        5,        6,        8,       11,       14,       19,       26,       35,       48,       67,       92,      129,      181,      255,      361,      511,      714,      977,     1295,     1642,     1973,     2240,     2404,     2454,     2400,     2266,     2080,     1863,     1633,     1402,     1177,      964,      764,      582,      420,      282,      173,       95,       47,       22
