timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1723,     1426,     1127,      846,      599,      399,      250,      147,       83,       47,       29,       20,       16,       16,       16,       17,       18,       19,       20,       21,       22,       23,       24,       25,       27,       28,       29,       31,       33,       34,       36,       38,       40,       42,       44,       46,       48,       51,       53,       56,       59,       62,       65,       68,       72,       75,       79,       83,       87,       92,       96,      101,      106,      112,      117,      123,      129,      136,      142,      150,      157,      165,      173,      181,      190,      200,      210,      220,      231,      242,      254,      266,      279,      292,      306,      321,      336,      352,      369,      387,      405,      424,      443,      464,      486,      508,      531,      555,      581,      607,      634,      662,      691,      722,      753,      786,      819,      854,      890,      927,      966,     1005,     1046,     1088,     1131,     1175,     1221,     1268,     1316,     1365,     1415,     1466,     1518,     1572,     1626,     1682,     1738,     1795,     1853,     1911,     1971,     2031,     2091,     2152,     2214,     2276,     2338,     2400,     2463,     2525,     2588,     2650,     2712,     2774,     2836,     2897,     2957,     3018,     3077,     3136,     3194,     3251,     3308,     3363,     3418,     3471,     3524,     3575,     3626,     3675,     3723,     3770,     3816,     3860,     3904,     3946,     3987,     4026,     4065,     4102,     4138,     4173,     4207,     4240,     4271,     4301,     4330,     4358,     4385,     4410,     4434,     4457,     4479,     4499,     4517,     4534,     4548,     4560,     4569,     4573,     4573,     4566,     4550,     4522,     4479,     4415,     4323,     4192,     4012,     3772,     3464,     3086,     2650,     2184,     1723,     1302,      947,      666,      456,      307,      203
i.70.calc,     2494,     2664,     2850,     3051,     3268,     3501,     3750,     4014,     4292,     4579,     4868,     5144,     5370,     5482,     5461,     5389,     5308,     5226,     5146,     5067,     4989,     4912,     4837,     4762,     4689,     4617,     4546,     4476,     4407,     4339,     4273,     4207,     4142,     4078,     4016,     3954,     3893,     3833,     3774,     3716,     3659,     3603,     3547,     3493,     3439,     3386,     3334,     3283,     3232,     3183,     3134,     3086,     3038,     2991,     2945,     2900,     2855,     2812,     2768,     2726,     2684,     2642,     2602,     2562,     2522,     2484,     2445,     2408,     2371,     2334,     2298,     2263,     2228,     2194,     2160,     2127,     2094,     2062,     2030,     1999,     1968,     1938,     1908,     1879,     1850,     1822,     1794,     1766,     1739,     1712,     1686,     1660,     1634,     1609,     1584,     1560,     1536,     1512,     1489,     1466,     1444,     1422,     1400,     1378,     1357,     1336,     1316,     1295,     1275,     1256,     1236,     1217,     1199,     1180,     1162,     1144,     1127,     1109,     1092,     1075,     1059,     1043,     1027,     1011,      995,      980,      965,      950,      935,      921,      907,      893,      879,      866,      852,      839,      826,      814,      801,      789,      777,      765,      753,      741,      730,      719,      708,      697,      686,      676,      665,      655,      645,      635,      625,      616,      606,      597,      588,      579,      570,      561,      553,      544,      536,      528,      520,      512,      504,      497,      490,      482,      476,      469,      463,      457,      451,      446,      442,      438,      436,      434,      435,      437,      441,      448,      458,      472,      490,      513,      539,      570,      606,      646,      689,      738,      790,      846,      906,      971,     1040,     1113
i.42.calc,      240,      261,      284,      309,      333,      353,      364,      359,      333,      284,      216,      138,       66,       19,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1463,     1171,      892,      643,      437,      278,      166,       93,       50,       27,       16,       10,        8,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        7,        7,        7,        7,        7,        7,        7,        7,        6,        6,        5,        5,        4,        3,        2,        2,        1,        1,        1,        0,        0
i.31.calc,     1415,     1656,     1875,     2037,     2113,     2084,     1949,     1723,     1433,     1109,      779,      471,      216,       60,       11,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        2,        2,        3,        4,        5,        6,        8,       11,       14,       19,       25,       33,       44,       59,       80,      109,      149,      205,      282,      388,      533,      725,      968,     1257,     1576,     1893,     2170,     2372,     2481,     2494,     2425,     2293,     2118
