timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1656,     1307,      975,      683,      447,      272,      154,       82,       43,       24,       14,       10,        9,        9,       10,       10,       11,       11,       12,       12,       13,       14,       14,       15,       16,       17,       17,       18,       19,       20,       21,       22,       24,       25,       26,       27,       29,       30,       32,       33,       35,       37,       39,       40,       42,       45,       47,       49,       52,       54,       57,       60,       63,       66,       69,       73,       76,       80,       84,       88,       93,       97,      102,      107,      112,      118,      123,      129,      135,      142,      149,      156,      163,      171,      179,      188,      197,      206,      215,      225,      236,      247,      258,      270,      282,      294,      307,      321,      335,      350,      365,      381,      397,      414,      431,      449,      468,      487,      506,      527,      547,      569,      591,      613,      636,      660,      684,      708,      733,      759,      785,      811,      838,      866,      893,      921,      950,      978,     1007,     1036,     1066,     1095,     1125,     1154,     1184,     1214,     1243,     1273,     1302,     1332,     1361,     1390,     1418,     1447,     1475,     1503,     1530,     1557,     1584,     1610,     1636,     1661,     1686,     1710,     1733,     1757,     1779,     1801,     1823,     1843,     1864,     1883,     1903,     1921,     1939,     1957,     1973,     1990,     2005,     2020,     2035,     2048,     2062,     2074,     2086,     2097,     2107,     2116,     2124,     2131,     2136,     2139,     2139,     2135,     2128,     2114,     2092,     2059,     2012,     1947,     1858,     1741,     1592,     1412,     1206,      988,      775,      582,      421,      295,      202,      136,       91,       61,       41,       28,       19,       14,       10,        8,        7
i.70.calc,     2494,     2665,     2851,     3053,     3271,     3505,     3754,     4017,     4292,     4572,     4849,     5097,     5270,     5310,     5257,     5181,     5102,     5023,     4946,     4870,     4795,     4721,     4649,     4577,     4507,     4438,     4369,     4302,     4236,     4171,     4107,     4043,     3981,     3920,     3860,     3800,     3742,     3684,     3628,     3572,     3517,     3463,     3410,     3357,     3306,     3255,     3205,     3155,     3107,     3059,     3012,     2966,     2920,     2875,     2831,     2787,     2745,     2702,     2661,     2620,     2580,     2540,     2501,     2462,     2424,     2387,     2350,     2314,     2279,     2244,     2209,     2175,     2142,     2109,     2076,     2044,     2013,     1982,     1952,     1922,     1892,     1863,     1834,     1806,     1778,     1751,     1724,     1697,     1671,     1646,     1620,     1595,     1571,     1547,     1523,     1500,     1476,     1454,     1431,     1409,     1388,     1366,     1345,     1325,     1304,     1284,     1264,     1245,     1226,     1207,     1188,     1170,     1152,     1134,     1117,     1100,     1083,     1066,     1050,     1034,     1018,     1002,      987,      972,      957,      942,      927,      913,      899,      885,      872,      858,      845,      832,      819,      807,      794,      782,      770,      758,      747,      735,      724,      713,      702,      691,      680,      670,      660,      649,      639,      630,      620,      610,      601,      592,      583,      574,      565,      557,      548,      540,      532,      524,      516,      508,      501,      494,      487,      481,      475,      469,      464,      460,      457,      455,      455,      456,      460,      466,      476,      489,      507,      528,      553,      582,      614,      650,      690,      732,      776,      823,      872,      923,      974,     1024,     1074,     1121,     1163,     1200,     1228,     1246
i.42.calc,      240,      261,      285,      310,      334,      351,      356,      341,      303,      243,      170,       97,       38,        8,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1434,     1111,      808,      548,      345,      201,      109,       55,       28,       15,        8,        6,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        3,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1698,     1950,     2124,     2182,     2108,     1914,     1632,     1301,      956,      626,      336,      125,       27,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        2,        2,        3,        4,        5,        7,        9,       12,       16,       22,       30,       40,       54,       73,      100,      136,      185,      250,      335,      441,      566,      700,      830,      937,     1007,     1033,     1015,      960,      880,      783,      678,      572,      469,      372,      286,      211,      149,      100
