timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1705,     1389,     1076,      790,      552,      369,      237,      148,       92,       58,       38,       28,       24,       24,       25,       26,       27,       29,       30,       32,       33,       35,       37,       38,       40,       42,       45,       47,       49,       52,       54,       57,       60,       63,       66,       70,       73,       77,       81,       85,       89,       93,       98,      103,      108,      114,      119,      125,      132,      138,      145,      152,      160,      168,      176,      185,      194,      203,      213,      224,      235,      246,      258,      270,      283,      297,      311,      326,      342,      358,      375,      393,      411,      431,      451,      472,      493,      516,      540,      564,      590,      616,      644,      672,      702,      733,      765,      798,      832,      867,      903,      941,      980,     1020,     1061,     1103,     1147,     1192,     1238,     1285,     1333,     1382,     1433,     1485,     1537,     1591,     1646,     1701,     1758,     1815,     1874,     1932,     1992,     2052,     2113,     2174,     2236,     2298,     2360,     2422,     2485,     2547,     2610,     2672,     2734,     2796,     2857,     2918,     2979,     3039,     3098,     3157,     3214,     3271,     3327,     3383,     3437,     3490,     3542,     3593,     3643,     3692,     3740,     3786,     3832,     3876,     3919,     3960,     4001,     4040,     4078,     4115,     4151,     4185,     4218,     4250,     4281,     4310,     4339,     4366,     4391,     4415,     4438,     4458,     4477,     4493,     4506,     4516,     4521,     4520,     4510,     4490,     4454,     4397,     4311,     4184,     4004,     3754,     3424,     3011,     2531,     2022,     1531,     1102,      759,      504,      326,      207,      130,       81,       51,       32,       20,       13,        8,        6,        4,        3,        2,        2,        2
i.70.calc,     2494,     2664,     2850,     3052,     3270,     3503,     3752,     4014,     4289,     4571,     4851,     5111,     5306,     5377,     5336,     5262,     5182,     5103,     5024,     4947,     4871,     4796,     4722,     4649,     4578,     4508,     4438,     4370,     4303,     4237,     4171,     4107,     4044,     3982,     3921,     3860,     3801,     3743,     3685,     3628,     3572,     3518,     3463,     3410,     3358,     3306,     3255,     3205,     3156,     3107,     3060,     3012,     2966,     2921,     2876,     2831,     2788,     2745,     2703,     2661,     2620,     2580,     2540,     2501,     2463,     2425,     2388,     2351,     2315,     2279,     2244,     2210,     2176,     2142,     2109,     2077,     2045,     2013,     1982,     1952,     1922,     1892,     1863,     1835,     1806,     1779,     1751,     1724,     1698,     1672,     1646,     1621,     1596,     1571,     1547,     1523,     1500,     1477,     1454,     1432,     1410,     1388,     1367,     1346,     1325,     1304,     1284,     1265,     1245,     1226,     1207,     1189,     1170,     1152,     1135,     1117,     1100,     1083,     1066,     1050,     1034,     1018,     1002,      987,      972,      957,      942,      928,      913,      899,      885,      872,      858,      845,      832,      819,      807,      794,      782,      770,      758,      747,      735,      724,      713,      702,      691,      680,      670,      660,      650,      640,      630,      620,      611,      602,      593,      584,      575,      566,      558,      550,      542,      535,      528,      522,      516,      511,      507,      504,      502,      503,      506,      512,      522,      536,      555,      579,      608,      643,      683,      728,      777,      832,      890,      954,     1022,     1094,     1171,     1252,     1338,     1427,     1519,     1613,     1708,     1800,     1887,     1962,     2021,     2057,     2069,     2061
i.42.calc,      240,      240,      241,      243,      242,      238,      229,      212,      187,      152,      111,       67,       29,        7,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1447,     1139,      850,      600,      402,      256,      157,       94,       55,       33,       21,       14,       12,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       10,       10,       10,        9,        8,        7,        6,        4,        3,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1699,     1957,     2145,     2226,     2182,     2020,     1763,     1445,     1098,      750,      430,      179,       45,        8,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        2,        3,        3,        4,        6,        8,       10,       14,       19,       25,       34,       47,       64,       89,      124,      174,      245,      347,      491,      687,      943,     1255,     1599,     1933,     2208,     2383,     2445,     2401,     2275,     2093,     1880,     1652,     1421,     1196,      982,      782,      599,      435,      295,      183,      102,       51,       24
