timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.5.calc,     2000,     1702,     1376,     1048,      748,      497,      306,      175,       94,       49,       27,       16,       11,        9,        9,       10,       10,       11,       11,       12,       13,       13,       14,       15,       15,       16,       17,       18,       19,       20,       21,       22,       23,       24,       25,       27,       28,       29,       31,       32,       34,       36,       38,       40,       42,       44,       46,       48,       51,       53,       56,       59,       62,       65,       68,       72,       76,       79,       83,       88,       92,       97,      102,      107,      112,      118,      124,      130,      136,      143,      151,      158,      166,      174,      183,      192,      202,      212,      222,      233,      245,      257,      270,      283,      297,      312,      327,      343,      360,      377,      395,      415,      435,      456,      477,      500,      524,      549,      575,      602,      630,      660,      691,      723,      756,      791,      827,      864,      903,      944,      986,     1029,     1074,     1121,     1170,     1220,     1272,     1326,     1381,     1438,     1497,     1558,     1621,     1685,     1751,     1819,     1889,     1961,     2034,     2109,     2186,     2264,     2344,     2425,     2508,     2592,     2677,     2764,     2852,     2941,     3031,     3121,     3213,     3305,     3397,     3491,     3584,     3678,     3771,     3865,     3958,     4052,     4144,     4237,     4328,     4419,     4509,     4599,     4687,     4773,     4859,     4942,     5025,     5105,     5183,     5259,     5333,     5403,     5469,     5532,     5589,     5639,     5680,     5709,     5722,     5713,     5673,     5589,     5446,     5222,     4895,     4448,     3881,     3224,     2535,     1885,     1330,      898,      585,      372,      232,      143,       88,       54,       33,       20,       13,        8,        5,        3,        2,        2
i.70.calc,     2494,     2665,     2851,     3053,     3272,     3506,     3756,     4020,     4297,     4581,     4863,     5122,     5314,     5374,     5328,     5252,     5172,     5093,     5015,     4937,     4862,     4787,     4713,     4641,     4569,     4499,     4430,     4362,     4295,     4229,     4164,     4099,     4036,     3974,     3913,     3853,     3794,     3735,     3678,     3621,     3566,     3511,     3457,     3404,     3351,     3300,     3249,     3199,     3150,     3101,     3054,     3007,     2961,     2915,     2870,     2826,     2783,     2740,     2698,     2656,     2615,     2575,     2535,     2496,     2458,     2420,     2383,     2346,     2310,     2275,     2240,     2205,     2171,     2138,     2105,     2073,     2041,     2009,     1979,     1948,     1918,     1889,     1860,     1831,     1803,     1775,     1748,     1721,     1694,     1668,     1643,     1618,     1593,     1568,     1544,     1520,     1497,     1474,     1451,     1429,     1407,     1385,     1364,     1343,     1322,     1302,     1282,     1262,     1243,     1224,     1205,     1186,     1168,     1150,     1132,     1115,     1098,     1081,     1064,     1048,     1032,     1016,     1000,      985,      970,      955,      940,      926,      912,      898,      884,      870,      857,      844,      831,      818,      805,      793,      781,      769,      757,      745,      734,      723,      711,      700,      690,      679,      669,      658,      648,      638,      629,      619,      610,      600,      591,      582,      573,      565,      556,      548,      540,      533,      525,      518,      512,      506,      500,      496,      493,      491,      491,      493,      498,      506,      519,      537,      559,      587,      621,      660,      704,      753,      807,      865,      929,      997,     1071,     1149,     1233,     1322,     1416,     1515,     1619,     1728,     1839,     1951,     2063,     2169,     2263,     2337
i.42.calc,      240,      261,      285,      311,      335,      354,      362,      350,      315,      257,      185,      109,       45,       11,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.14.calc,     1751,     1436,     1116,      816,      557,      354,      208,      113,       58,       29,       15,        8,        6,        5,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.31.calc,     1415,     1699,     1958,     2144,     2217,     2159,     1977,     1701,     1370,     1020,      681,      379,      150,       35,        6,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        2,        2,        3,        4,        5,        7,        9,       12,       16,       22,       30,       42,       58,       80,      113,      160,      229,      329,      474,      681,      966,     1338,     1788,     2275,     2736,     3100,     3318,     3378,     3299,     3118,     2870,     2586,     2288,     1989,     1700,     1423,     1164,      923,      702,      505,      336,      201
